#_elements,Avg_SeqSearch,Avg_BinSearch,
1,1.0,1.15625,
2,1.875,1.78125,
3,2.9375,2.03125,
4,3.59375,2.375,
5,4.75,2.84375,
6,5.40625,3.0,
7,6.4375,3.09375,
8,7.40625,3.375,
9,8.75,3.34375,
10,9.75,3.65625,
11,10.0,3.6875,
12,9.8125,3.71875,
13,12.09375,3.9375,
14,12.96875,4.0,
15,14.71875,4.03125,
16,15.53125,4.28125,
17,15.96875,4.25,
18,15.9375,4.21875,
19,18.09375,4.34375,
20,18.625,4.46875,
21,19.6875,4.5,
22,21.3125,4.65625,
23,21.0,4.65625,
24,22.71875,4.8125,
25,24.84375,4.78125,
26,24.78125,5.0,
27,23.78125,4.75,
28,26.59375,4.90625,
29,26.75,5.0,
30,25.625,5.03125,
31,28.125,5.09375,
32,27.8125,5.125,
33,31.75,5.03125,
34,27.8125,5.1875,
35,33.0,5.28125,
36,31.875,5.3125,
37,33.03125,5.4375,
38,34.65625,5.21875,
39,33.34375,5.46875,
40,37.46875,5.46875,
41,35.1875,5.5625,
42,37.78125,5.5,
43,40.96875,5.59375,
44,40.15625,5.5,
45,43.1875,5.46875,
46,41.96875,5.9375,
47,43.875,5.65625,
48,38.78125,5.75,
49,44.3125,5.875,
50,45.5,5.5,
51,48.53125,5.71875,
52,45.09375,5.9375,
53,49.53125,5.9375,
54,50.28125,5.875,
55,50.5,6.0,
56,47.78125,6.0625,
57,48.78125,5.71875,
58,54.59375,5.875,
59,50.96875,6.0,
60,55.6875,5.96875,
61,52.46875,5.875,
62,58.75,6.0,
63,61.8125,6.0,
64,58.375,6.25,
65,55.53125,6.09375,
66,56.96875,6.03125,
67,60.9375,6.25,
68,63.40625,6.0625,
69,63.3125,6.3125,
70,67.625,6.15625,
71,63.6875,6.1875,
72,65.21875,6.1875,
73,62.09375,6.09375,
74,67.1875,6.25,
75,67.34375,6.21875,
76,72.5,6.09375,
77,71.28125,6.375,
78,70.6875,6.28125,
79,71.90625,6.46875,
80,70.9375,6.46875,
81,73.5,6.34375,
82,80.28125,6.5,
83,77.8125,6.25,
84,72.84375,6.6875,
85,77.53125,6.625,
86,79.21875,6.34375,
87,73.375,6.34375,
88,81.8125,6.59375,
89,82.96875,6.5625,
90,82.625,6.59375,
91,81.90625,6.53125,
92,84.625,6.6875,
93,83.96875,6.4375,
94,85.59375,6.625,
95,86.375,6.8125,
96,92.5,6.75,
97,83.25,6.90625,
98,90.96875,6.75,
99,93.21875,6.75,
100,94.875,6.875,
101,92.59375,6.75,
102,82.59375,6.75,
103,99.65625,6.90625,
104,92.03125,6.75,
105,97.5625,6.78125,
106,100.6875,6.84375,
107,99.125,6.6875,
108,103.15625,6.875,
109,100.15625,7.0625,
110,98.71875,6.96875,
111,103.59375,6.90625,
112,89.46875,7.0,
113,104.625,6.875,
114,108.8125,6.84375,
115,107.78125,6.6875,
116,106.90625,6.9375,
117,108.46875,7.03125,
118,108.75,6.84375,
119,106.25,6.9375,
120,107.625,6.9375,
121,113.40625,6.71875,
122,112.09375,6.96875,
123,111.0625,7.125,
124,120.8125,6.9375,
125,108.40625,6.9375,
126,118.25,6.96875,
127,106.28125,6.9375,
128,115.9375,6.875,
129,116.65625,6.9375,
130,118.71875,7.0,
131,120.3125,7.1875,
132,123.5,6.8125,
133,114.59375,7.0625,
134,122.875,7.125,
135,125.1875,7.15625,
136,116.375,7.21875,
137,120.90625,7.125,
138,123.1875,7.125,
139,129.65625,7.4375,
140,127.53125,7.15625,
141,130.5625,7.0,
142,132.6875,7.1875,
143,137.875,7.25,
144,132.4375,7.28125,
145,143.09375,7.09375,
146,133.65625,7.46875,
147,122.0,7.375,
148,133.0,7.15625,
149,131.0,7.1875,
150,124.21875,7.125,
151,135.34375,7.46875,
152,145.65625,7.46875,
153,141.03125,7.34375,
154,137.125,7.53125,
155,131.84375,7.34375,
156,140.90625,7.25,
157,145.5625,7.34375,
158,134.59375,7.5,
159,147.4375,7.5,
160,143.65625,7.4375,
161,152.875,7.34375,
162,136.90625,7.25,
163,156.375,7.6875,
164,147.96875,7.625,
165,146.375,7.34375,
166,141.5,7.78125,
167,145.75,7.25,
168,141.84375,7.59375,
169,160.75,7.4375,
170,159.40625,7.4375,
171,149.3125,7.4375,
172,166.84375,7.5625,
173,160.71875,7.4375,
174,160.78125,7.4375,
175,159.875,7.5,
176,164.15625,7.5,
177,161.8125,7.375,
178,155.5,7.4375,
179,172.15625,7.5625,
180,158.1875,7.625,
181,165.6875,7.6875,
182,165.875,7.59375,
183,166.5,7.40625,
184,170.9375,7.625,
185,176.75,7.5625,
186,162.5625,7.78125,
187,171.21875,7.65625,
188,172.8125,7.65625,
189,184.5625,7.53125,
190,168.84375,7.625,
191,176.46875,7.6875,
192,175.71875,7.71875,
193,176.34375,7.59375,
194,176.3125,7.75,
195,173.90625,7.78125,
196,190.75,7.78125,
197,183.65625,7.5625,
198,180.0,7.8125,
199,178.90625,7.8125,
200,188.5,7.90625,
201,184.40625,7.78125,
202,174.0,7.53125,
203,192.75,7.9375,
204,190.34375,7.78125,
205,195.21875,7.875,
206,181.15625,7.6875,
207,189.09375,7.75,
208,189.1875,7.9375,
209,197.25,7.59375,
210,186.15625,7.65625,
211,205.75,7.8125,
212,168.5625,7.84375,
213,196.59375,7.875,
214,206.03125,7.78125,
215,200.28125,7.96875,
216,187.5,7.78125,
217,190.28125,7.8125,
218,200.90625,7.8125,
219,186.78125,7.71875,
220,197.59375,7.90625,
221,203.5,7.78125,
222,187.21875,7.75,
223,201.25,8.0,
224,219.25,7.8125,
225,191.3125,7.9375,
226,187.875,7.65625,
227,182.9375,8.03125,
228,210.65625,7.6875,
229,213.375,7.78125,
230,213.4375,7.90625,
231,199.625,7.90625,
232,219.9375,7.96875,
233,220.59375,7.875,
234,187.03125,8.03125,
235,200.6875,7.90625,
236,209.375,8.0625,
237,222.5,7.875,
238,216.78125,7.8125,
239,232.5625,8.0625,
240,210.6875,7.75,
241,218.3125,7.9375,
242,200.875,7.84375,
243,223.03125,7.90625,
244,196.875,7.90625,
245,224.3125,8.125,
246,245.53125,7.90625,
247,236.625,8.03125,
248,232.125,8.03125,
249,224.40625,8.0625,
250,212.4375,7.90625,
251,208.5,8.09375,
252,232.75,8.03125,
253,245.3125,7.96875,
254,216.40625,8.25,
255,255.0,8.0,
256,223.21875,8.03125,
257,240.6875,8.0625,
258,240.1875,7.96875,
259,252.75,8.0625,
260,230.71875,8.09375,
261,236.0625,8.25,
262,237.09375,8.09375,
263,231.5625,7.96875,
264,248.3125,7.96875,
265,250.1875,8.09375,
266,249.4375,8.1875,
267,241.59375,8.25,
268,237.0,8.15625,
269,251.46875,8.125,
270,251.03125,7.96875,
271,239.59375,8.25,
272,259.59375,8.1875,
273,235.53125,8.15625,
274,252.09375,8.25,
275,244.65625,8.15625,
276,249.78125,8.09375,
277,236.96875,8.21875,
278,233.25,8.125,
279,261.84375,8.21875,
280,266.625,7.875,
281,258.59375,8.15625,
282,245.40625,8.28125,
283,266.90625,8.21875,
284,257.5625,8.03125,
285,260.4375,8.1875,
286,272.1875,8.3125,
287,248.375,8.21875,
288,248.71875,8.09375,
289,281.03125,8.15625,
290,259.4375,8.0625,
291,267.9375,8.3125,
292,259.40625,8.34375,
293,274.78125,8.28125,
294,270.1875,8.40625,
295,246.125,8.125,
296,269.25,8.40625,
297,266.40625,8.375,
298,266.875,8.1875,
299,272.25,8.1875,
300,265.53125,8.40625,
301,281.3125,8.15625,
302,269.96875,8.15625,
